CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,COD_DEPARTAMENTO_ORIGEN,ZONA_CIUDAD_GUATEMALA,TELEFONO_PRINCIPAL,TELEFONO_SECUNDARIO,TELEFONO_VALIDO,DUPLICADO_EXACTO_SIN_CODIGO,POSIBLE_DUPLICADO_PARCIAL
16-01-0137-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO NOCTURNO FRANCISCO MARROQUIN,6A. AVENIDA 1-15 ZONA 4,JORGE EDUARDO PAQUE LAZARO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,16,,,,False,False,False
16-01-0138-46,16-01-0926,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,JOSE ARTURO CHOC CHEN,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,77945104,,True,False,False
16-01-0139-46,16-01-0927,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,ARMANDO AUDILIO POP CUCUL,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,58015763,,True,False,False
16-01-0140-46,16-01-0926,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,JOSE ARTURO CHOC CHEN,VIRGINIA SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,78232301,,True,False,False
16-01-0141-46,16-01-0924,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11-10 ZONA 2,MOISÉS ADRIÁN LÓPEZ PÉREZ,ESTELA DEL CARMEN QUIM ROSALES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,40389968,,True,False,False
16-01-0142-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',3A AVE 6-23 ZONA 11,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,54457786,,True,False,False
16-01-0143-46,16-01-0923,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-9 ZONA 3,EFRAIN CAAL CUC,MYNOR GUSTAVO IPIÑA ESPAÑA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,57101061,,True,False,False
16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,3 AV. 5-28 ZONA 4,JORGE EDUARDO PAQUE LAZARO,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,54641454,,True,False,True
16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. CALLE 11-09 ZONA 6 COBAN,PATRICIO NAJARRO ASENCIO,ROSA MARÍA ZAMORA GONZÁLEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,16,,49532425,,True,False,False
16-01-0150-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-,3A. AVAENIDA 1-23 ZONA 4,JORGE EDUARDO PAQUE LAZARO,GUILLERMO ESTUARDO VASQUEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,,,False,False,False
16-01-0155-46,16-01-0924,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVENIDA 5-17 ZONA 4,MOISÉS ADRIÁN LÓPEZ PÉREZ,HÉCTOR ARMANDO TEYUL CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,79522555,,True,False,False
16-01-0428-46,16-01-0926,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTÓN LAS CASAS",JOSE ARTURO CHOC CHEN,HELSON MARCO CHÉN GUTIERREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,77930045,,True,False,True
16-01-0471-46,16-01-0924,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",12 AV. 2-12 ZONA 1,MOISÉS ADRIÁN LÓPEZ PÉREZ,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79545566,,True,False,False
16-01-0478-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO EVANGELICO ""LA PATRIA""",FINCA CHIMAXITO ZONA 11,PATRICIO NAJARRO ASENCIO,AURA EUNICE SOTO FONSECA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79514440,,True,False,False
16-01-0481-46,16-01-0925,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,NORA LILIANA FIGUEROA HERNÁNDEZ,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79514754,,True,False,False
16-01-0483-46,16-01-0925,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,NORA LILIANA FIGUEROA HERNÁNDEZ,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,79514754,,True,False,False
16-01-0557-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA LIBERTAD""",3RA. AVENIDA 5-12 ZONA 4,PATRICIO NAJARRO ASENCIO,ERICK FERNANDO CHOC GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,79523696,,True,False,False
16-01-0558-46,16-01-0925,ALTA VERAPAZ,COBAN,"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE""",3A. AVE. 6-23 ZONA 11,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,54457786,,True,False,False
16-01-0559-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,3A. AVE. 6-23 ZONA 11,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,54457786,,True,False,False
16-01-0563-46,16-01-0937,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,NELSON OMAR TENÍ BREMER,DAVID WALDEMAR URRUTIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79522793,,True,False,False
16-01-0565-46,16-01-0925,ALTA VERAPAZ,COBAN,"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""",DIAGNONAL 1 1-26 ZONA 1,NORA LILIANA FIGUEROA HERNÁNDEZ,RONALD ARMANDO CAAL TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,51600258,,True,False,False
16-01-0568-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1-06 ZONA 3,MOISÉS ADRIÁN LÓPEZ PÉREZ,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79511991,,True,False,False
16-01-0570-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1-13 ZONA 3,PATRICIO NAJARRO ASENCIO,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,79511103,,True,False,False
16-01-0572-46,16-01-0924,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1-13 ZONA 3,MOISÉS ADRIÁN LÓPEZ PÉREZ,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79511103,,True,False,False
16-01-0573-46,16-01-0926,ALTA VERAPAZ,COBAN,COLEGIO CRISTIANO BILINGUE VERBO,4A. CALLE A 4-32 ZONA 8,JOSE ARTURO CHOC CHEN,LESLY EUGENIA CHOCOOJ VIDAURRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,77945181,,True,False,False
16-01-0574-46,16-01-0924,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A. CALLE 11-10 ZONA 2,MOISÉS ADRIÁN LÓPEZ PÉREZ,MAYNOR ROBERTO CAAL BOL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,78674618,,True,False,False
16-01-0583-46,16-01-0923,ALTA VERAPAZ,COBAN,COLEGIO NUEVOS SENDEROS,"3A. CALLE 3-74, ZONA 3",EFRAIN CAAL CUC,ZOYLA ARGENTINA MOLLINEDO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79417300,,True,False,False
16-01-0587-46,16-026,ALTA VERAPAZ,COBAN,LICEO MIXTO EN COMPUTACION DEL NORTE,"1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO",EDETANO OXOM YAT,JULIO ROBERTO PERALTA COL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,48633323,,True,True,False
16-01-0588-46,16-026,ALTA VERAPAZ,COBAN,LICEO MIXTO EN COMPUTACION DEL NORTE,"1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO",EDETANO OXOM YAT,JULIO ROBERTO PERALTA COL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,48633323,,True,True,False
16-01-0604-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,"5A. CALLE 1-06, ZONA 3",MOISÉS ADRIÁN LÓPEZ PÉREZ,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79511991,,True,False,False
16-01-0609-46,16-01-0923,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,LOTIFICACION CHIVENCORRAL,EFRAIN CAAL CUC,JUAN PASCUAL LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,30367501,,True,False,False
16-01-0611-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO HISPANOAMERICANO,"1A CALLE 17-41 COMUNIDAD PETET CHIXIC, ZONA 12",PATRICIO NAJARRO ASENCIO,OCTAVIO ISMAEL BATZ CHOC,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,74725125,,True,False,False
16-01-0612-46,16-01-0923,ALTA VERAPAZ,COBAN,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,"CALZADA RABIN AJAU, ZONA 1",EFRAIN CAAL CUC,THELMA MARTINA POP TZIR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,57565646,,True,False,False
16-01-0613-46,16-01-0923,ALTA VERAPAZ,COBAN,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",1A. CALLE 7-22 ZONA 3,EFRAIN CAAL CUC,MARGARITA VILLALOBOS LIGORRÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,77259205,,True,False,False
16-01-0616-46,16-01-0938,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SALACUIM,NELSON OMAR TENÍ BREMER,AXEL ABELARDO CHUB LEAL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,57655184,,True,False,True
16-01-0619-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",1A. CALLE 7-22 ZONA 3,PATRICIO NAJARRO ASENCIO,MARGARITA VILLALOBOS LIGORRÍA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,77259205,,True,False,False
16-01-0642-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHOVAL,LOURDES KARINA PACAY YAXCAL,GILDA ARACELY WELLMANN DUARTE,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,53331646,,True,False,True
16-01-0646-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,PATRICIO NAJARRO ASENCIO,ERWIN ROLANDO XOL CHUN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,44042550,,True,False,False
16-01-0647-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-98 ZONA 3,PATRICIO NAJARRO ASENCIO,JUAN JOSÉ LUTHER MEJICANOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,57101061,,True,False,False
16-01-0651-46,16-01-0926,ALTA VERAPAZ,COBAN,CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA,6A. AV. 10-68 ZONA 12 COLONIA EL ESFUERZO I,JOSE ARTURO CHOC CHEN,BYRON ANIBAL GÓMEZ GATICA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,51755005,,True,False,False
16-01-0652-46,16-01-0938,ALTA VERAPAZ,COBAN,INSTITUTO MAYA COMUNITARIO K'AMOLB'E,ALDEA NIMLAJACOC,NELSON OMAR TENÍ BREMER,JOSE LINO QUIB CHE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,30621374,,True,False,False
16-01-0664-46,16-01-0925,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. AVENIDA 2-23 ZONA 4,NORA LILIANA FIGUEROA HERNÁNDEZ,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79514754,,True,False,False
16-01-0665-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMÁTICA ""CENINFAV""",12 AVENIDA 2-12 ZONA 1,PATRICIO NAJARRO ASENCIO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,16,,79545566,,True,False,False
16-01-0666-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMÁTICA ""CENINFAV""",12 AVENIDA 2-12 ZONA 1,PATRICIO NAJARRO ASENCIO,HÉCTOR VIDAL BOL CÚ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,79521765,,True,False,False
16-01-0668-46,16-01-0923,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,"5A CALLE 1-98, ZONA 3",EFRAIN CAAL CUC,SUSELY BEATRIZ ELÍAS POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,16,,57101061,,True,False,False
16-01-0671-46,16-01-0924,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,2A. CALLE 12-23 ZONA 4,MOISÉS ADRIÁN LÓPEZ PÉREZ,JORGE SALVADOR JUÁREZ SIERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,16,,79511459,,True,False,False
16-01-0672-46,16-01-0924,ALTA VERAPAZ,COBAN,ICA,11AVENIDA 1-10 ZONA 1,MOISÉS ADRIÁN LÓPEZ PÉREZ,LAIDY ANDREA CHOCOOJ TIUL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,33509500,,True,False,False
16-01-0678-46,16-01-0925,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AVENIDA CINCO GUION DOCE (5-12),NORA LILIANA FIGUEROA HERNÁNDEZ,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,48979726,,True,False,False
16-01-0681-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11-10, ZONA 2",MOISÉS ADRIÁN LÓPEZ PÉREZ,AMÉRICA NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,16,,77918163,,True,False,False
16-01-0690-46,16-01-0923,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""",1A. AV. 4-24 ZONA 2,EFRAIN CAAL CUC,LUDWING JOEL NORIEGA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ,16,,77930803,,True,False,False
16-01-0694-46,16-01-0925,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AV. 5-12 ZONA 4,NORA LILIANA FIGUEROA HERNÁNDEZ,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ,16,,55564568,,True,False,False
16-01-0703-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,NORA LILIANA FIGUEROA HERNÁNDEZ,RONALD ARMANDO CAAL TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,51600258,,True,False,False
16-01-0705-46,16-050,ALTA VERAPAZ,COBAN,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,7A. AV. 2-18 D ZONA 1,MAXIMILIANO CHUB ICAL,,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ,16,,45587767,,True,False,False
16-01-0708-46,16-031,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""","1A, AVENIDA 4-24 ZONA 2",PATRICIO NAJARRO ASENCIO,YADIRA SOMARI ALFARO OCH,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,ALTA VERAPAZ,16,,77256954,,True,False,False
16-01-0710-46,16-01-0925,ALTA VERAPAZ,COBAN,OXFORD BILINGUAL SCHOOL,2DA. CALLE 16-94 ZONA 4,NORA LILIANA FIGUEROA HERNÁNDEZ,DARWIN ROBERTO IGLESIAS DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79513898,,True,False,False
16-01-0712-46,16-050,ALTA VERAPAZ,COBAN,ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,10 AVENIDA 1-25 ZONA 3,MAXIMILIANO CHUB ICAL,ANABELA CECILIA BOL CAAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,79521302,,True,False,True
16-01-0909-46,16-01-0923,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""","2A. CALLE ""A"" 11-10, ZONA 1",EFRAIN CAAL CUC,LUDWING JOEL NORIEGA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,16,,77256954,,True,False,False
16-01-0910-46,16-01-0924,ALTA VERAPAZ,COBAN,COLEGIO DE INFORMATICA CENINFAV,"12 AVENIDA 2-12, ZONA 1",MOISÉS ADRIÁN LÓPEZ PÉREZ,HÉCTOR VIDAL BOL CÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,16,,79521765,,True,False,False
16-01-0912-46,16-01-0924,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,"2A. CALLE 12-23, ZONA 4",MOISÉS ADRIÁN LÓPEZ PÉREZ,DANIEL BERNARDO RAMIREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,16,,79511459,,True,False,False
16-01-0913-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,"DIAGONAL 1 1-26, ZONA 1 COBÁN",NORA LILIANA FIGUEROA HERNÁNDEZ,RONALD ARMANDO CAAL TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,16,,51600258,,True,False,False
16-01-0915-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11-10, ZONA 2",MOISÉS ADRIÁN LÓPEZ PÉREZ,AMÉRICA NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,16,,77918163,,True,False,False
16-01-0917-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO MIXTO MONJA BLANCA,"DIAGONAL 3 14-11, ZONA 2",MOISÉS ADRIÁN LÓPEZ PÉREZ,EDWIN ARMANDO CATÚN CAAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,16,,79513896,,True,False,False
16-01-0918-46,16-01-0925,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DE NORTE,"3A. AVENIDA 8-32, ZONA 10",NORA LILIANA FIGUEROA HERNÁNDEZ,ZOILA IMENA LÓPEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,16,,79417346,,True,False,True
16-01-0919-46,16-01-0924,ALTA VERAPAZ,COBAN,"LICEO MIXTO PARTICULAR ""SAN BENITO""","9A. AVENIDA 4-55, ZONA 4",MOISÉS ADRIÁN LÓPEZ PÉREZ,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,16,,37058145,,True,False,False
