Variable,Descripcion,Tipo,Dominio permitido,Valores posibles,Tratamiento aplicado,Variables derivadas,Fecha de extraccion,Fuente de los datos,Version del conjunto limpio
DEPARTAMENTO,Departamento oficial de Guatemala,Categorica,22 departamentos oficiales de Guatemala,"['ALTA VERAPAZ', 'BAJA VERAPAZ', 'CHIMALTENANGO', 'CHIQUIMULA', 'EL PROGRESO', 'ESCUINTLA', 'GUATEMALA', 'HUEHUETENANGO', 'IZABAL', 'JALAPA', 'JUTIAPA', 'PETEN', 'QUETZALTENANGO', 'QUICHE', 'RETALHULEU', 'SACATEPEQUEZ', 'SAN MARCOS', 'SANTA ROSA', 'SOLOLA', 'SUCHITEPEQUEZ', 'TOTONICAPAN', 'ZACAPA']",Se unifico 'CIUDAD CAPITAL' -> 'GUATEMALA',N/A,2024-06-01,Consolidado diversificado de establecimientos educativos de Guatemala,1.0
MUNICIPIO,Municipio oficial de Guatemala,Categorica,340 municipios oficiales de Guatemala,Todos los municipios oficiales de Guatemala,"Se reemplazaron valores centinela de faltante por NA, se eliminaron espacios extra y se normalizo el texto",N/A,2024-06-01,Consolidado diversificado de establecimientos educativos de Guatemala,1.0
ZONA_CIUDAD_GUATEMALA,Zona de la ciudad de Guatemala para los registros que originalmente tenian DEPARTAMENTO='CIUDAD CAPITAL' y MUNICIPIO='ZONA n',Categorica,1-25,1-25,Se extrajo de MUNICIPIO para los registros que originalmente tenian DEPARTAMENTO='CIUDAD CAPITAL' y MUNICIPIO='ZONA n',ZONA_CIUDAD_GUATEMALA,2024-06-01,Consolidado diversificado de establecimientos educativos de Guatemala,1.0
DISTRITO,Codigo de distrito de supervision,Texto,Codigos de distrito validos,Codigos de distrito validos,"Se reemplazaron codigos truncados por NA, se conservaron los dos formatos validos observados (XX-XXX y XX-XX-XXXX)",N/A,2024-06-01,Consolidado diversificado de establecimientos educativos de Guatemala,1.0
COD_DEPARTAMENTO_ORIGEN,"Codigo del departamento de origen del registro, tal como lo uso el formulario del scraper",Texto,Codigos de departamento de 2 digitos,00-99,Se convirtio a texto de 2 digitos con cero a la izquierda,N/A,2024-06-01,Consolidado diversificado de establecimientos educativos de Guatemala,1.0
TELEFONO_PRINCIPAL,Telefono principal del establecimiento,Texto,8 digitos numericos,00000000,"Se extrajeron secuencias de 7-8 digitos, se normalizo el formato a 8 digitos sin separadores ni texto adicional",N/A,2024-06-01,Consolidado diversificado de establecimientos educativos de Guatemala,1.0
TELEFONO_SECUNDARIO,Telefonos secundarios del establecimiento,Texto,8 digitos numericos separados por ';',00000000;00000000;...,"Se extrajeron secuencias de 7-8 digitos adicionales, se normalizo el formato a 8 digitos sin separadores ni texto adicional, separados por ';'",N/A,2024-06-01,Consolidado diversificado de establecimientos educativos de Guatemala,1.0
